iter	Passed	Remaining
0	59	59131
1	59	29712
2	59	19904
3	60	15008
4	60	12063
5	60	10096
6	61	8695
7	61	7644
8	61	6823
9	62	6167
10	62	5636
11	63	5190
12	63	4813
13	63	4490
14	64	4208
15	64	3961
16	64	3745
17	65	3552
18	65	3378
19	65	3222
20	66	3082
21	66	2953
22	66	2836
23	67	2729
24	67	2631
25	67	2540
26	68	2456
27	68	2378
28	68	2305
29	69	2236
30	69	2172
31	69	2112
32	70	2056
33	70	2002
34	70	1952
35	71	1905
36	71	1861
37	71	1818
38	72	1779
39	72	1741
40	72	1705
41	73	1671
42	73	1638
43	73	1607
44	74	1577
45	74	1549
46	75	1522
47	75	1495
48	75	1469
49	76	1445
50	76	1423
51	76	1400
52	77	1378
53	77	1357
54	77	1337
55	78	1317
56	78	1298
57	78	1279
58	79	1262
59	79	1244
60	79	1228
61	80	1212
62	80	1197
63	80	1182
64	81	1167
65	81	1153
66	81	1140
67	82	1128
68	82	1116
69	83	1104
70	83	1091
71	83	1079
72	84	1068
73	84	1056
74	84	1045
75	85	1034
76	85	1024
77	85	1013
78	86	1003
79	86	994
80	86	985
81	87	975
82	87	964
83	87	955
84	87	947
85	88	938
86	88	930
87	88	922
88	89	914
89	89	906
90	90	899
91	90	891
92	90	884
93	90	877
94	91	870
95	91	863
96	91	856
97	92	849
98	92	843
99	93	837
100	93	830
101	93	824
102	94	818
103	94	812
104	94	807
105	95	801
106	95	795
107	95	790
108	96	784
109	96	779
110	96	774
111	96	768
112	97	763
113	97	759
114	98	754
115	98	749
116	98	744
117	98	739
118	99	735
119	99	730
120	99	726
121	100	721
122	100	717
123	100	713
124	101	710
125	101	706
126	102	702
127	102	698
128	103	695
129	103	692
130	103	688
131	104	684
132	104	681
133	104	677
134	105	674
135	105	671
136	106	667
137	106	664
138	106	661
139	107	657
140	107	654
141	107	650
142	108	647
143	108	644
144	108	641
145	109	638
146	109	635
147	109	632
148	110	629
149	110	626
150	110	624
151	111	621
152	111	618
153	112	615
154	112	612
155	112	609
156	113	606
157	113	603
158	113	601
159	113	598
160	114	595
161	114	592
162	114	589
163	115	587
164	115	584
165	115	582
166	116	579
167	116	577
168	116	574
169	117	572
170	117	569
171	117	567
172	118	565
173	118	562
174	118	560
175	119	557
176	119	555
177	119	553
178	120	551
179	120	548
180	120	546
181	121	544
182	121	542
183	121	540
184	122	537
185	122	535
186	122	533
187	123	531
188	123	529
189	123	527
190	124	525
191	124	523
192	124	521
193	125	519
194	125	517
195	125	515
196	126	513
197	126	512
198	126	510
199	127	508
200	127	506
201	127	504
202	128	502
203	128	501
204	128	499
205	129	497
206	129	495
207	129	494
208	130	492
209	130	490
210	130	489
211	131	487
212	131	485
213	131	483
214	132	482
215	132	480
216	132	479
217	133	477
218	133	475
219	133	474
220	134	472
221	134	471
222	134	469
223	135	468
224	135	466
225	135	464
226	136	463
227	136	461
228	136	460
229	137	458
230	137	457
231	137	455
232	138	454
233	138	453
