iter	Passed	Remaining
0	51	51252
1	51	25799
2	52	17324
3	52	13089
4	52	10540
5	53	8843
6	53	7637
7	54	6721
8	54	6008
9	54	5438
10	55	4972
11	55	4586
12	56	4260
13	56	3975
14	56	3731
15	57	3516
16	57	3330
17	57	3164
18	58	3014
19	58	2879
20	59	2758
21	59	2649
22	60	2551
23	60	2463
24	60	2377
25	61	2298
26	61	2225
27	62	2158
28	62	2094
29	62	2035
30	63	1979
31	63	1926
32	64	1878
33	64	1833
34	64	1790
35	65	1749
36	65	1710
37	66	1674
38	66	1638
39	66	1605
40	67	1573
41	67	1543
42	68	1515
43	68	1488
44	68	1462
45	69	1436
46	69	1413
47	70	1391
48	70	1368
49	70	1347
50	71	1326
51	71	1306
52	72	1287
53	72	1269
54	72	1251
55	73	1234
56	73	1218
57	74	1202
58	74	1187
59	74	1174
60	75	1161
61	75	1147
62	76	1134
63	76	1121
64	77	1109
65	77	1097
66	77	1084
67	78	1074
68	78	1063
69	79	1052
70	79	1041
71	79	1030
72	80	1020
73	80	1011
74	81	1001
75	81	992
76	82	983
77	82	974
78	82	965
79	83	956
80	83	948
81	83	939
82	84	929
83	84	922
84	84	914
85	85	907
86	85	900
87	86	892
88	86	885
89	86	878
90	87	872
91	87	864
92	88	858
93	88	852
94	88	846
95	89	841
96	89	835
97	90	829
98	90	823
99	90	818
100	91	812
101	91	806
102	91	800
103	92	795
104	92	789
105	93	784
106	93	779
107	93	774
108	94	769
109	94	764
110	94	759
111	95	755
112	95	750
113	95	745
114	96	741
115	96	737
116	97	732
117	97	728
118	97	723
119	98	719
120	98	715
121	98	711
122	99	707
123	99	703
124	100	700
125	100	696
126	100	691
127	100	688
128	101	684
129	101	681
130	102	677
131	102	674
132	102	671
133	103	667
134	103	664
135	104	661
136	104	658
137	104	654
138	105	651
139	105	649
140	106	646
141	106	642
142	106	640
143	107	637
144	107	634
145	107	631
146	108	628
147	108	625
148	109	622
149	109	619
150	109	617
151	110	615
152	111	617
153	111	615
154	112	613
155	112	610
156	113	608
157	113	605
158	114	603
159	114	600
160	114	597
161	115	595
162	115	592
163	115	590
164	116	587
165	116	585
166	116	582
167	117	580
168	117	578
169	118	576
170	118	574
171	118	572
172	119	570
173	119	568
174	120	565
175	120	564
176	121	562
177	121	561
178	121	558
179	122	556
180	122	554
181	122	552
182	123	550
183	123	548
184	124	546
185	124	544
186	124	542
187	125	540
188	125	538
189	125	536
190	126	534
191	126	532
192	126	530
193	127	528
194	127	527
195	128	525
196	128	523
197	128	521
198	129	520
199	129	518
200	130	516
201	130	514
202	130	513
203	131	511
204	131	509
205	131	508
206	132	506
207	132	504
208	132	503
209	133	501
210	133	500
211	134	498
212	134	496
213	134	495
214	135	493
215	135	492
216	136	491
217	136	489
218	136	488
219	137	486
220	137	485
221	138	484
222	138	482
223	138	481
224	139	479
225	139	478
226	140	477
227	140	475
228	140	474
229	141	472
230	141	471
231	142	470
232	142	468
233	142	467
234	143	466
235	143	464
236	143	463
237	144	461
238	144	460
239	145	459
240	145	458
241	145	457
242	146	456
243	146	455
244	147	453
245	147	452
246	147	451
247	148	449
248	148	448
249	149	447
250	149	445
251	149	444
252	150	443
253	150	441
254	150	440
255	151	439
256	151	438
257	151	436
258	152	435
259	152	434
260	153	433
261	153	432
262	153	430
263	154	429
264	154	428
265	154	427
266	155	426
267	155	425
268	156	424
269	156	422
270	156	421
271	157	420
272	157	419
273	157	418
274	158	417
275	158	415
276	158	414
277	159	413
278	159	412
279	160	411
280	160	410
281	161	410
282	161	409
283	162	408
284	162	407
285	162	406
286	163	405
287	163	405
288	164	403
289	164	402
290	164	401
291	165	400
292	165	399
293	166	399
294	166	398
295	167	397
296	167	397
297	168	396
298	168	395
299	169	394
300	169	394
301	170	393
302	170	392
303	171	392
304	171	391
305	172	391
306	172	390
307	173	389
308	173	389
309	174	388
310	174	387
311	175	386
312	175	386
313	176	385
314	176	384
315	177	383
316	177	382
317	178	382
318	178	381
